date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:55:42	6195/6195	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20Feb%202024%2013:55:43%20GMT	https://help.sap.com/doc/abapdocu_754_index_htm/7.54/en-US/abenabap.htm	D:/Cleison/Documents/ABAPdocs/ABAPdocs/help.sap.com/doc/abapdocu_754_index_htm/7.54/en-US/abenabap.html	(from )
10:55:45	100/100	---M-Z	200	added ('OK')	text/plain	etag:W/%22100-1708097380000%22	https://help.sap.com/robots.txt		(from )
10:55:46	92854/92854	---M--	200	added ('OK')	image/x-icon	date:Sun,%2018%20Feb%202024%2013:55:47%20GMT	https://help.sap.com/doc/abapdocu_754_index_htm/7.54/en-US/ABAPIcon.ico	D:/Cleison/Documents/ABAPdocs/ABAPdocs/help.sap.com/doc/abapdocu_754_index_htm/7.54/en-US/ABAPIcon.ico	(from https://help.sap.com/doc/abapdocu_754_index_htm/7.54/en-US/abenabap.htm)
10:55:46	3622/3622	---M-Z	200	added ('OK')	text/css	date:Sun,%2018%20Feb%202024%2013:55:48%20GMT	https://help.sap.com/doc/abapdocu_754_index_htm/7.54/en-US/abap_docu.css	D:/Cleison/Documents/ABAPdocs/ABAPdocs/help.sap.com/doc/abapdocu_754_index_htm/7.54/en-US/abap_docu.css	(from https://help.sap.com/doc/abapdocu_754_index_htm/7.54/en-US/abenabap.htm)
10:55:46	1558/1558	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2018%20Feb%202024%2013:55:48%20GMT	https://help.sap.com/doc/abapdocu_754_index_htm/7.54/en-US/functions.js	D:/Cleison/Documents/ABAPdocs/ABAPdocs/help.sap.com/doc/abapdocu_754_index_htm/7.54/en-US/functions.js	(from https://help.sap.com/doc/abapdocu_754_index_htm/7.54/en-US/abenabap.htm)
10:55:47	2115/2115	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20Feb%202024%2013:55:49%20GMT	https://help.sap.com/doc/abapdocu_754_index_htm/7.54/en-US/index.htm	D:/Cleison/Documents/ABAPdocs/ABAPdocs/help.sap.com/doc/abapdocu_754_index_htm/7.54/en-US/index.html	(from https://help.sap.com/doc/abapdocu_754_index_htm/7.54/en-US/abenabap.htm)
10:55:48	2115/2115	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20Feb%202024%2013:55:50%20GMT	https://help.sap.com/doc/abapdocu_754_index_htm/7.54/en-US/INDEX.HTM	D:/Cleison/Documents/ABAPdocs/ABAPdocs/help.sap.com/doc/abapdocu_754_index_htm/7.54/en-US/INDEX-2.html	(from https://help.sap.com/doc/abapdocu_754_index_htm/7.54/en-US/abenabap.htm)
10:56:10	3172/3172	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20Feb%202024%2013:56:11%20GMT	https://help.sap.com/doc/abapdocu_754_index_htm/7.54/en-US/abenabap_glosry.htm	D:/Cleison/Documents/ABAPdocs/ABAPdocs/help.sap.com/doc/abapdocu_754_index_htm/7.54/en-US/abenabap_glosry.html	(from https://help.sap.com/doc/abapdocu_754_index_htm/7.54/en-US/abenabap.htm)
10:56:17	3221/3221	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20Feb%202024%2013:56:19%20GMT	https://help.sap.com/doc/abapdocu_754_index_htm/7.54/en-US/abenabap_objects_glosry.htm	D:/Cleison/Documents/ABAPdocs/ABAPdocs/help.sap.com/doc/abapdocu_754_index_htm/7.54/en-US/abenabap_objects_glosry.html	(from https://help.sap.com/doc/abapdocu_754_index_htm/7.54/en-US/abenabap.htm)
10:56:20	4042/4042	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20Feb%202024%2013:56:22%20GMT	https://help.sap.com/doc/abapdocu_754_index_htm/7.54/en-US/abenabap_oview.htm	D:/Cleison/Documents/ABAPdocs/ABAPdocs/help.sap.com/doc/abapdocu_754_index_htm/7.54/en-US/abenabap_oview.html	(from https://help.sap.com/doc/abapdocu_754_index_htm/7.54/en-US/abenabap.htm)
10:56:20	8873/8873	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20Feb%202024%2013:56:22%20GMT	https://help.sap.com/doc/abapdocu_754_index_htm/7.54/en-US/abenabap_dictionary.htm	D:/Cleison/Documents/ABAPdocs/ABAPdocs/help.sap.com/doc/abapdocu_754_index_htm/7.54/en-US/abenabap_dictionary.html	(from https://help.sap.com/doc/abapdocu_754_index_htm/7.54/en-US/abenabap.htm)
10:56:21	7023/7023	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20Feb%202024%2013:56:23%20GMT	https://help.sap.com/doc/abapdocu_754_index_htm/7.54/en-US/abenabap_reference.htm	D:/Cleison/Documents/ABAPdocs/ABAPdocs/help.sap.com/doc/abapdocu_754_index_htm/7.54/en-US/abenabap_reference.html	(from https://help.sap.com/doc/abapdocu_754_index_htm/7.54/en-US/abenabap.htm)
10:56:22	40694/40694	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20Feb%202024%2013:56:23%20GMT	https://help.sap.com/doc/abapdocu_754_index_htm/7.54/en-US/abenabap_shortref.htm	D:/Cleison/Documents/ABAPdocs/ABAPdocs/help.sap.com/doc/abapdocu_754_index_htm/7.54/en-US/abenabap_shortref.html	(from https://help.sap.com/doc/abapdocu_754_index_htm/7.54/en-US/abenabap.htm)
10:56:22	856865/856865	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Feb%202024%2013:56:10%20GMT	https://help.sap.com/doc/abapdocu_754_index_htm/7.54/en-US/search.htm	D:/Cleison/Documents/ABAPdocs/ABAPdocs/help.sap.com/doc/abapdocu_754_index_htm/7.54/en-US/search.html	(from https://help.sap.com/doc/abapdocu_754_index_htm/7.54/en-US/abenabap.htm)
10:56:26	4435/4435	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20Feb%202024%2013:56:27%20GMT	https://help.sap.com/doc/abapdocu_754_index_htm/7.54/en-US/abennews.htm	D:/Cleison/Documents/ABAPdocs/ABAPdocs/help.sap.com/doc/abapdocu_754_index_htm/7.54/en-US/abennews.html	(from https://help.sap.com/doc/abapdocu_754_index_htm/7.54/en-US/abenabap.htm)
10:56:28	4084/4084	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20Feb%202024%2013:56:29%20GMT	https://help.sap.com/doc/abapdocu_754_index_htm/7.54/en-US/abenabap_pgl.htm	D:/Cleison/Documents/ABAPdocs/ABAPdocs/help.sap.com/doc/abapdocu_754_index_htm/7.54/en-US/abenabap_pgl.html	(from https://help.sap.com/doc/abapdocu_754_index_htm/7.54/en-US/abenabap.htm)
